Issue title,HM5_ISSUE_DESC
COVER L BODY SIDE FOUND BROKEN FROM TWO MTG LOCATIONS,"COVER L BODY SIDE found broken from two mtg locations  in ABRA PP1 Pave vehicle, problem identified @ 2500 kms"
RIDER HAND FOULING WITH PASSING SWITCH WHILE APPLYING PARKING BRAKE IN ABRA PP1 TRANSMISSION TEST VEHICLE @ 0 KMS,Rider hand fouling with passing switch while applying parking brake in ABRA PP1 transmission test vehicle @ 0 kms
SIDE STAND TELLTALE IS CONTINUE GLOW IN SPEEDOMETER,Side stand telltale is continue glow in speedometer
MUFFLER ALL (THREE) MTG FOUND CRACK (ON SWING ARM) IN ABRA M2 ADDITIONAL FLEET VEHICLE @ 6200 KMS,MUFFLER ALL (THREE) MTG FOUND CRACK (ON SWING ARM) IN ABRA M2 ADDITIONAL FLEET VEHICLE @ 6200 KMS THIS ISSUE WAS FOUND WITH UPDATED DIE GO RELEASE MUFFLER
I3S FUNCTIONALITY IS NOT FUNCTIONING AS PER DESIGN SPEC SHEET,"As per design spec sheet of i3S functionality, when engine stalls through i3S and the engine did not start properly through i3s after applying brake and throttle for the first time, then blinking pattern should continue and restart should be allowed by Brake + Throttle. However, it was observed that when i3S condition is met and on trying to restart the engine through i3S (after getting failed for the first time), 1. The i3S LED stops blinking and,  2. Engine does not get restarted by i3S system (with Brake + Throttle application) as the Engine comes out from the i3S loop."
SWING ARM ASSY FOUND CRAK NEAR MUFFLER UPPER MTG LOCATION  IN ABRA M2 ADDITIONAL FLEET VEHICLE @ 6200  KMS,SWING ARM ASSY FOUND CRAK NEAR MUFFLER UPPER MTG LOCATION  IN ABRA M2 ADDITIONAL FLEET VEHICLE @ 6200  KMS
COMBUSTION NOISE IS OBSERVED IN ABRA VEHICLE AND FOUND HIGH IN 5000-8900RPM RANGE,Harsh noise(Combustion) with modified ignition map iteration-3 and iteration-4 is better than ABRA base ignition map and found to be acceptable from customer point of view
ENGINE OIL DRAINING FOUND NG IN ABRA M2 VEHICLE,"ENGINE OIL DRAINING FOUND NG  LESS SPACE FOUND THE BELOW ENGINE AREA TO PUT A BIN AS WELL AS TO COLLECT THE ENGINE OIL  THIS IS THE NEW JAR DESIGNED FOR ABRA SERVICE PURPOSE  THIS JAR DESIGN IS SPECIALLY DONE TO COLLECT THE ENGINE OIL. HOWEVER, MANUFACTURING OF THIS JAR HAS TO BE CHECKED MOREOVER, THIS IS NOT THE RIGHT COUNTERMEASURE FOR THIS BASIC FUNCTION OF ENGINE OIL DRAINAGE. THIS JAR IS NOT A STANDARD ITEM AVAILABLE IN MARKET, AS VEHICLE SERVICE WILL BE DONE AT ANY SERVICE CENTER, EITHER HMCL DEALERS OR LOCAL GARAGE AND EVEN IN EXPORT MARKETS. SO CORRECTION IS REQUIRED FOR DRAIN BOLT POSITION"
HANDLE BOLT,Handle bolt & cover position wrong fitment
SUSPENSION STIFF,'-Both Suspension observed stiff at Pave & Rough Roads (Road shocks transferring to rider body) - Both Vehicles (PMG) '- Rear suspension felt stiffer-GPP Suspension feel very Hard - GB
LABEL TYRE IS NOT AVAILABLE IN ABRA PP1 ALL VEHICLES,LABEL TYRE is not available in ABRA PP1 all vehicles
REAR BRAKE INNER CABLE GOT BROKEN NEAR END SCREW DURING STROKING DURABILITY TEST AFTER 10K CYCLES,Rear Brake inner cable got broken near end screw during stroking durability test after 10k cycles
"SWITCH WINKER SLEEVE DIA IS MORE, HARD TO INSERT IN GUIDE STAY SPEEDOMETER","Switch winker sleeve dia is more, hard to insert in guide stay speedometer"
NOISE OBSERVED FROM INSIDE HEAD LAMP ASSEMBLY.SOMETHING BROKEN INSIDE HEAD LAMP ASSEMBLY & NOISE CRAETED.,ACJA_M1_UID_2013_Pave testing vehicle_kms__1999_Noise observed from inside Head lamp assembly.Something broken inside head lamp assembly & noise craeted.
"DURING RUNNING FUEL CAME OUT FROM FUEL TANK CAP AREA, FUEL COLOUR MARKS HIGHLIGHTED IN THE PICTURE.","ACJA_M2_UID_3023_Fleet testing_vehicle_kms_10900_ During running fuel came out from fuel tank cap area, fuel colour marks highlighted in the picture."
CABLE STARTER MOTOR TO SAT MAG. FITMENT DIFFICULT DUE TO SHARP RADIUS.,Cable starter motor to sat Mag. fitment difficult Due to sharp radius and excessive lenght. and Cutout in plastic part also small to pass the cable from the cutout.
HANDLE BAR RH SIDE HIGHT IS MORE THEN SPEC,"Handle bar RH side hight is more then spec, (Spec is 1055 Plus/Minus 10 mm and observed is 1069 mm)"
RR TYRE UNEVEN WEAR OUT OBSERVED IN VEHICLE AS HIGHLIGHTED IN PICTURE.,ACJA_M2_UID_3023_Fleet testing_vehicle kms_10900_RR tyre uneven wear out observed in vehicle as highlighted in picture.
AFTER CALLING THE NAVIGATION IS NOT SHOWING IN SPEEDOMETER.,After calling the navigation is not showing in speedometer(on android phones).
PERTROL ENTRY OBSEREVD IN CANISTER INLET DURING EVAPO TEST.,ACJA_PP1_4033_Spl test_200_Km_Pertrol entry obserevd in canister inlet during EVAPO test. Issue obserevd in different conditions. Refer test EVAPO report for more details.
AUTO HEADLIGHT ON/ OFF FUNCTION NOT WORKING.,ACJA_PP1_4035_Fleet_3540_Km_Auto headlight on/ off function not working.
SPEEDOMETER TRIP METER RUBBER CUT OBSERVED IN VEHICLE.,ACJA_M1_UID_2013_Pave testing vehicle_kms__1999_Speedometer trip meter rubber cut observed in vehicle as highlighted in picture. Note-Trip meter rubber damaged observed in perf. vehicle also.
FOOL PROOFING OF BANKING ANGLE SENSOR MTG IS NOT GIVEN IN VEHICLE,Observations 1. There is a possibility of wrong assembly at the Banking angle sensor mounting. 2. Sensor can be fitted both in reverse direction and in rotated direction (with UP marking not legible from user's side).
VIBRATION LEVELS AT SPEEDOMETER DO NOT MEET THE SPECIFICATION LIMIT,Vibration levels at Speedometer do not meet the specification limit
TANK COVER INNER RH & 2.TANK COVER LH & RH SIDE ARE NOT MEETING THE EXTERNAL PROJECTION CRITERIA -SHARP EDGES OBSERVED ON PERIPH,1. There could be ambiguity about these points being considered under clause no. 5.4.8 of AIS 147  and could be potential non-conformance (not blunt).  2. these sharp edges can potentially harm to the user while cleaning/servicing the vehicle so recommended to blunt those sharp edges
UTCH CABLE RUBBING WITH FRAME BRACKET & CUT MARK OBSERVED ON CABLE,ACJA_PP1_4035_Fleet_15504_Km_ Clutch cable rubbing with frame bracket & cut mark observed on cable.
"SIDE STAND SENSOR WIRE TOUCHING TO RIDER STEP MOUNTING, MAY DAMAGE ON  MOVEMENT OF GEAR PEDAL","Side stand sensor wire touching to rider step mounting, May damage on  movement of gear pedal"
GRAPHICAL USER INTERFACE-GEAR INDICATION LETTER 'N' LOOKS INCOMPLETE AND TILTED.,Graphical User interface-Gear indication Letter 'N' Looks incomplete and tilted.'May use '0' instead of 'N.
FUEL TANK TOTAL CAPACITY IS LESS THAN SPEC.,Fuel Tank Total Capacity is 13.4 L where as spec is of minimum 13.5 L.
FILLETS ARE MISSING IN CAD DATA,Fillets are missing in CAD data which is not feasible in forming.
OPERATIONAL FORCES OF CLUTCH ENGAGING IS MORE.,Operational forces of Clutch engaging is 6.1 KgF.
RETAINER FOULING WITH REAR COWL LHS WHILE INSERTING,Retainer fouling with rear cowl LHS while inserting
REAR WHEEL INSERTAION IN SWING ARM IS NOT POSSIBLE.,"Rear wheel insertaion in swing arm is difficult.Less distance observed in swing arm than wheel stack up, wheel insertion in swing arm is not possible."
TRACING THE FRAME NO. IS NOT CONVENIENT.,Frame number location is visible.Tracing the no. is not convenient due to the clutch & throttle cable being too tight to push aside for tracing.
REAR WHEEL DISC SIDE BEARING & FLANGE BEARING FOUND STUCK.,ACJA_PP1_4035_Fleet_3540_Km_Rear wheel disc side bearing & flange bearing found stuck.
STATIC GAP BETWEEN FRAME AND COVER SIDE IS NOT AS PER SPEC.,"Static gap between Frame and cover side on Lh side is 3.2 mm & Rh side is 4.2 mm,where as spec is 2 mm(min)."
FUEL PUMP FLANGE O RING GOT DAMAGED,Fuel pump flange O ring got damaged after 25 hours of Cam drum durability testing.
REAR HUB COLLAR AXLE DISTANCE FOUND MISALIGNED AFTER REMOVAL.,Old rev of hub used in the PP1 vehicle. Countermeasure part has a guide feature which guides collar in the center.
"IN FULL BUMP CONDITION,THE FIRST TOUCH POINT ON RH SIDE IS NOT AS PER SPEC(STATIC BANK ANGLE TEST).",The first touch point on RH side of vehicle is main stand foot while as per CAD first touch must be Rider footrest.
BEEPER CABLE'S OUTER PROTECTIVE SLEEVE WAS OBSERVED SHORT. WIRES ARE NOT COMPLETELY COVERED,Beeper cable's outer protective sleeve was observed short. Wires are not completely covered
ACJA PP1 VEHICLE FUEL TANK FOUND LEAK NEAR THE FUEL TANK CAP.,ACJA PP1 vehicle fuel tank found leak near the fuel tank cap during the pre-test observation.
SHARP EDGE FEELS UNCOMFORTABLE.,1.  The rear end top edges of the grab handle feel uncomfortable and sharp while holding it. Also the width feels more.2. The sharp bends on the top surface around the bend region casuing  discomfort while holding.
BATTERY '+' TERMINAL WAS NOT POSSIBLE TO COVER AFTER ASSEMBLED WITH BATTERY & HAS SHARP BEND.,Battery '+' terminal was not possible to cover after assembled with battery & has sharp bend.
EXTENDED WELDING IS NOT GIVEN IN DRAWING FOR 50148-ACJA-0000-BRKT RR BOTTOM ENG MOUNT R IN ACJA FRAME BODY,Extended welding is not given in drawing for 50148-ACJA-0000-BRKT RR BOTTOM ENG MOUNT R In ACJA Frame body
FRAME BODY TUBE FRONT DOWN LHS CRACK,Frame Body tube front down Lhs crack observed after 26 hrs. of two poster durability testing
FRONT FENDER TO OIL COOLER PROTECTOR (HANDLE BAR TURNING RIGHT) GAP IS NOT AS PER SPEC IN FULL BUMP CONDITION.,Front fender to Oil cooler protector (handle bar turning right) gap is 33.4 mm where as spec of 42.1 mm in full bump condition.
FRONT WHEEL GROUND CLEARANCE IS LESS THEN SPEC,Front Wheel ground clearance is less then spec (Spec : 30-35 Plus/Minus 10 mm & observed IS 18.8 mm
SERVICE CONNECTOR,THERE ARE 2 SERVICE CONNECTOR IN HARNESS
LH FORK PINCH BOLT NOT MEETING THE EXTERNAL PROJECTION REQUIREMENT.,"As per definition the contact point (LH fork pinch bolt) comes under the definition of Stem and in group 1 category. As per regulation required ROC for stem is >2 mm. However, ROC at the contact point is observed to be 1.0mm."
WIRE COVER UPPER TWO HOLE PFFSET SO SLOT REQUIRED AT THOSE TWO HOLE,Wire cover upper two hole pffset so slot required at those two hole
OPERATIONAL FORCES OF HAZARD SWITCH IS MORE.,"Operational forces of Hazard switch (ON to OFF) is 1.24 Kgf, where as spec is of 0.95 kgf with tolerance of 0.14 Kgf."
SEAT STITCHING GOT REMOVED AND CUT OBSERVED ON EDGE OF SEAT,ACJA_PP1_4035_Fleet_15504_Km_ Seat stitching got removed and cut observed on edge of seat.
MUFFLER REAR MOUNTING BOLT RUBBER GROMMET FOUND DAMAGED.,ACJA_M2_UID_3022_Pave testing_vehicle_kms_241_Muffler rear mounting bolt rubber grommet found damaged. This Part is Updated and verified by EDD Team. Issue observed in Inspected & Updated Part.
TAIL LIGHT CENTER MOUNTING LUG BROKEN ON VEHICLE,Tail light center mounting lug broken on vehicle.Crack observed on 4304 Kms & Broken @ 14590 Kms (ACJA_M1_UID_2009_Fleet  testing vehicle).
ENGINE TEMP. OUTER PROTECTING SLEEVE OBSERVED SHORT.,Engine oil temp.  Sensor outer protecting sleeve observed short. Wires are not completely covered.
REAR WHEEL DISC SIDE BEARING FOUND STICKY,ACJA_PP1_4035_Fleet_15504_Km_ Rear wheel disc side bearing found sticky.
COVER FR CENTER/ COVER FR CENTER A,Gap observed between two parts at both LH & RH side
GRAPHICAL USER INTERFACE-AM/PM IS NOT CLEARLY LEGIBLE.,Graphical User interface-AM/PM is not clearly legible.Recommendation to Increase font size.
"USB CHARGER MTG SCREW LOSSE (IN THE DRG PROVIDED HOLE IS 4.2 MM ,AND MTG HARDWARE GIVEN 4 MM)","USB charger mtg screw losse (In the drg provided hole is 4.2 mm ,and mtg hardware given 4 mm)"
FRONT BRAKE HOSE FOULING WITH HANDLE BAR,Front brake hose fouling with handle bar & make sharp bend on turning RH side.
SPEEDOMETER CABLE OUTER SLEEVE FOUND CUT,ACJA_PP1_4035_Fleet_15504_Km_ Speedometer cable outer sleeve found cut.
FRONT HOOK GETTING DAMAGE AFTER ASSEMBLY BECAUSE DIRECTION OF SNAPING & HOOK IS 90 DEGREE.,Front hook getting damage after assembly because direction of snaping & hook is 90 degree.
PAINT PEEL OFF OBSERVED AT MULTIPLE POINTS ON MAIN STAND,ACJA_M2_UID_3022_Pave testing_vehicle_kms_241_ Paint peel off observed at multiple points on main stand due to heating with ground surface during running condition as highlighted in picture.
SUB CORD COME IN CENTRE DURING ASSY & GETTING PINCH ALSO GETTING HIDER IN TAIL LIGHT LOWER MOUNTING,Sub cord come in centre during assy & getting pinch also getting hider in tail light lower mounting
ACJA 5TH ENGINE MOUNTING LH SIDE BOLT GOT CRACKED IN 21 HOURS OF CAM DRUM DURABILITY TESTING.,ACJA 5th engine mounting lh side bolt got cracked in 21 hours of cam drum durability testing. Target of test is120 hours.
THE FRONT BRAKE HOSE RUBBER GROMMET OBSERVED CUT & IT IS COMING OUT FROM ITS POSITION ON ITS OWN WHILE TURNING THE HANDLEBAR FEW,"1.The Front Brake hose rubber grommet observed cut & it is coming out from its position on its own while turning the handlebar few times. 2.Rubber grommet is not sticked to its position,issue appears with bonding quality"
"TOUCHING TO ENGINE HEAD, MAY GET BURN ON ENGINE HEATING","Touching to engine head, May get burn on engine heating, Not resolved even after cable tie fitment, Branch creating problem."
WIRE HARNESS INSULATION NOT AS PER LAYOUT IT OBSERVED CRACKS & TORNED  FROM MULTIPEL LOCATIONS.,ACJA_M2_UID_3023_Fleet testing_vehicle_kms_0_Wire harness insulation not as per layout it observed cracks & Torned  from Multipel Locations.
"SPEED SENSOR, REAR BRAKE SWITCH WIRES CABLE TIE (3 NO'S) IS MISSING.","Speed sensor, Rear brake switch wires cable tie (3 no's) is missing."
PAINT PEEL OFF OBSERVED ON STAY.,ACJA_M2_UID_3022_Pave testing_vehicle_kms_2200_Paint peel off observed on stay upper mount at multiple points as highlighted in picture.
BOLT LENGTH NEED TO OPTIMIZE 65 INSTEAD OF 70 MM. ENGINE MTG.,Bolt length need to optimize 65 instead of 70 mm. Engine mtg.
STATIC GAP BETWEEN CUSHION AND REAR GRIP IS NOT AS PER SPEC.,"Static gap between Cushion and rear grip on Lh side is 23.9 mm & Rh side is 28.2 mm,where as spec is 8 ±2 mm."
HEAVY TAPPET AND DECOMP NOISE OBSERVED AFTER 12K KM SERVICING,ACJA_PP1_4035_Fleet_12312_Km_Heavy tappet and decomp noise observed after 12K km servicing
BOTH MIRROR GETTING LOOSE AFTER RUNNING ON FLEET & UNPAVE TRACK  AFTER COVER APPROX. 5 KMS.,"Both Mirror getting loose after running on fleet & Unpave track  After cover approx. 5 Kms. Due to Mirror Arm short in length visibility is poor, fleet Testing RH side mirror back side cover observed broken. ACJA_M1_UID 2009 Fleet  testing vehicle__kms_14590."
REAR BRAKE HOSE & REAR BRAKE MASTER CYLINDER HOSE ARE FOULING WITH FRAME.,Rear brake hose & Rear brake master cylinder hose are fouling with frame.
STATIC GAP BETWEEN TANK COVER & TANK IS NOT AS PER SPEC.,Static gap between Tank cover & tank are uneven.
VIBRATION LEVELS AT POWER RELAY DO NOT MEET THE SPECIFICATION LIMIT,Vibration levels at Power Relay do not meet the specification limit
RR UNIT CONNECTOR HARNESS FOULING OBSERVED LED GUARD MOUNTING AS HIGHLIGHTED IN PICTURE.,ACJA_M1_UID_2013_Pave testing vehicle_kms__1999_RR unit connector harness fouling observed led guard mounting as highlighted in picture.
CLUTCH INNER CABLE RUBBING WITH METALLIC  SLEEVE,Clutch inner cable rubbing with metallic  sleeve
RUSTING MARKS OBSERVED ON FRONT FORK DUE TO BOTTOM BRIDGE FORK.,ACJA_PP1_4035_Fleet_15504_Km_ Rusting marks observed on front fork due to bottom bridge fork.
STATIC GAP IS NOT AS PER DESIGN SPECS BETWEEN REAR TONER RING AND SENSOR,Static gap is not as per design specs between Rear toner ring and sensor (Spec are 0.95 Plus-minus 0.65 mm and Observed are 0.15 mm)
THE SIDE STAND SENSOR MOUNTING HOLE ON THE FRAME HAS A DIMENSIONAL DEVIATION,"The side stand sensor mtg hole size seems more causes it  can't fit in the intended position, eventually it results in side stand sensor malfunctioning"
RH HUGGER FENDER TO LUGGAGE CARRIER MOUTING BOLT GAP IS NOT AS PER SPEC IN FULL BUMP CONDITION.,RH hugger fender to luggage carrier mouting bolt gap is 13.2 mm where as spec of 25 mm with tolerence of 10 mm in full bump condition.
SELF RELAY WIRE LENGTH IS MORE FROM MAIN HARNESS.,Self relay wire length is more from main harness.
FRONT BRAKE HOSE PIPE SHARP BEND OBSERVED DURING HANDLE TURING ON RH SIDE.,ACJA_M2_UID_3023_Fleet testing_vehicle_kms_0_Front brake hose pipe sharp bend observed during handle Turing on RH side. Full Steering angle not reached due to pipe pinch in between Fr Cushion & Frame.
ACJA M2 STAGE FUEL FILLER CAP FOUND LEAKED IN LEAKAGE TESTING,ACJA M2 Stage fuel filler cap found leaked in leakage testing (qty-03)
ACJA M2 WOMEN STEP ASSEMBLY IS NOT FUNCTIONALLY OK,ACJA M2 women step assembly is not functionally OK
THROTTLE CABLE PINCH WITH SPEEDOMETER MOUNTING STAY.,Throttle cable pinch with speedometer mounting stay.
REAR FENDER STAY BROKEN.,Rear fender stay broken observed on vehicle  ACJA_M1_UID_2009_Fleet  testing vehicle @14590 kms.
EXTERNAL PROJECTION-SHARP PROJECTIONS OBSERVED AT FRONT FENDER MOUNTING.,External projection-Sharp projections observed at Front fender mounting(needs to be blunt).
ECU MOUNTING BKT INSERTON DIFFICULT IN MULTIBRACKET,ECU MOUNTING BKT INSERTON DIFFICULT MULTIBRACKET
FRONT AND REAR TYRE BAND OBSERVED ON VEHICLE.,Front and rear Tyre band observed on vehicle ACJA_M1_UID_2009_Fleet  testing vehicle__kms_14590.
INCOMING CALL NOTIFICATION IS DISPLAYING FOR ONLY 5 SEC. CONTINUE NOTIFICATION DISPLAY REQUIRED.,Call alert: Incoming call notification is displaying for only 5 sec. Continue notification display required.
END CONNECTOR OF EARTH CABLE IS ON OPPOSITE SIDE OF THE BATTERY,End connector of earth cable is on opposite side of the battery
REAR GRIP RUBBING WITH FENDER STAY,"Rear grip rubbing with fender stay on vehicle ACJA_M1_UID_2009_Fleet  testing vehicle__kms_14590,  Rusting also observed on part due to improper paint process."
MUFFLER CENTER MOUNTING GROMET OBSERVED CUT IN VEHICLE .,ACJA_M1_UID_2013_Pave testing vehicle_kms__1999_Muffler center mounting gromet observed cut in vehicle as highlighted in picture.
STATIC GAP BETWEEN PROTECTOR MUFFLER AND MAINSTAND IS NOT AS PER SPEC.,"Static gap between Protector muffler and mainstand is 5.5 mm, where as spec is 10 ±2.5 mm."
HEADLAMP LOW BEAM IS NOT WORKING AFTER THERMAL SHOCK,After thermal shock test Headlamp's Low beam is not working & High beam just also glow once
TOP OUT NOISE  OBSERVED FROM REAR CUSHION.,"ACJA_M2_UID_3023_Fleet testing_vehicle_kms_0_Top out noise  observed from rear cushion, bottoming observed on speed breaker , long wave & irregular concrete surfaces"
EXTERNAL PROJECTION-FRONT FENDER ROC IS LESS SPEC(IN LH AND RH TURN).,External projection-Front fender ROC is 1.5mm Where as spec is of minimum 2 mm (In LH and RH turn).Touch point is in Group 1 as shown in pic.
RUST OBSERVED ON FUSE AND TCU STAY.,Rust observed on Fuse and TCU stay on vehicle  ACJA_M1_UID_2009_Fleet  testing vehicle__kms_14590.
"ROUND ABOUT TURN INSTRUCTION-ONLY ROUND ABOUT SYMBOL IS THERE, NO TURN NUMBER  IS SHOWING.","Round about turn instruction-Only round about symbol is there, no turn number  is showing."
MUFFLER RR MTG COLLER DAMAGE  OBSERVED AFTER 26 HRS. OF TWO POSTER DURABILITY TESTING.,Muffler RR Mtg Coller damage  observed after 26 hrs. of two poster durability testing.
ACJA HEADLAMP QUALIMETER COLOR CHANGED AFTER CONTINUOUS OPERATION TEST AT 50DEGC,ACJA headlamp qualimeter color changed after continuous operation test at 50degc after 240hrs.
EXTERNAL PROJECTION-MAIN STAND STEM DIA IS LESS AND TOUCH IN GROUP 2.,External projection-Main stand stem dia is 16mm (dia must be 20 mm or the projected length must be less than 8mm if dia is 16mm) and touch in Group 2.
HAVE EXCESSIVE LENGTH NEAR AIR CLEANER,Have excessive length near air cleaner.
THE USB CHARGER IS NOT WORKING PROPERLY.,After 2-3 minutes mobile charging is automatically stopped. USB Charger is not able to charge the phone in engine idle RPM condition.'Charing rate could not be established because the USB charger is not working properly.
THROTTLE CABLE CASING MTG BOLT FOUND INCLINED. REFER IMAGE,ACJA_PP1_4035_Fleet_9595_Km_Throttle cable casing mtg bolt found inclined. Refer image
HAZARD SWITCH OBSERVED RUBBING DURING ON/OFF OPERATION.,ACJA_PP1_4035_Fleet_400_Km_Hazard switch observed rubbing during on/off operation.
"BOOT REAR SUB CORD IS FLOATING, SO SUB CORD LENGTH VARYING AT HARNESS END.","Boot rear sub cord is floating, So sub cord length varying at harness end."
WIRE HARNESS SLEEVE GOT CUT AT BRANCHING OF TPS,ACJA_PP2_5068_PAVE_2500_KM_Wire harness sleeve got cut at branching of TPS
WASHER INSERTION DIFFICULT INBETWEEN MUFFLER AND RUBBER GROMMAT AS IT IS SANDWEETCH PART.,Washer insertion difficult inbetween muffler and rubber grommat as it is sandweetch part.
FUEL TANK SHROUD MOUNTING FITMENT NOT PROPER,ACJA_PP2_5068_PAVE_0_KM_Fuel tank shroud mounting fitment not proper. Shroud fauling with oil cooler cover. This issue observed in Media presentation vehicles.
REAR AXLE STOPPER FOUND BEND CONDITION,ACJA_M2_UID_3022_Pave testing_vehicle_kms_2200_Rear axle stopper found bend condition.Refer image
FRONT CUSHION LHS AXLE MOUNTING ALLEN KEY BOLT TORQUE FOUND LOOSE & THRADE WASHOUT OBSERVED.,Front cushion LHS axle mounting Allen key bolt Torque found loose & Thrade washout observed  on ACJA_M1_UID_2009_Fleet  testing vehicle__kms_14590
PASSING SWITCH OPERATING EFFORT IS NOT MEETING DESIGN SPECIFICATIONS,Passing switch operating effort is observed to be 0.45kgf against the design specification of  0.8kgf (+/- 0.24kgf).
FUEL TANK BOTH SIDE SHROUD MOUNTING HOLES FOUND ELONGATED,ACJA_M2_UID_3022_Pave testing_vehicle_kms_2200_Fuel tank both side shroud mounting holes found elongated & Material stangnated observed .Refer image
STATIC GAP BETWEEN SIDE COVER AND GARNISH COVER SIDE IS NOT AS PER SPEC.,"Static gap between Side cover and cover side on Lh side is 0 to 1.4 mm & Rh side is 0 to 5.5 mm,where as spec is 0.5 ±0.3 mm."
SWITCH ASSY LH SIDE NOT AS PER DRAWING. SWITCH ASSY USED SAME AS RAAA.,ACJA_M2_UID_3023_Fleet testing_vehicle_kms_0_Switch Assy LH side Not as per Drawing. Switch Assy used same as RAAA.
WINKER ASSY L/R (RR) BROKEN,Both Rear Winker found broken after 4hrs of during testing.
DIFFICULT TO POSITION THE PLATE SETTING WITH THE ERROW ON TANK.,Difficult to position the plate setting with the errow on tank.
THROTTLE CABLE IS RUBBING WITH HEADLIGHT MOUNTING STAY WHILE TURNING HANDLEBAR FROM LHS TO RHS AND VICE VERSA & THROTTLE CABLE I,1. Throttle cable is rubbing with headlight mounting stay while turning handlebar from LHS to RHS and vice versa. 2. Throttle cable is fouling with Engine Top Cover.
CLEARANCE BETWEEN SEAT & REAR COWL CENTER IS LESS IN DYNAMIC CONDITION.,"Clearance between seat & rear cowl LH & center at point 9 & 10 (shown in pic.) is 2mm & 3.5mm respectively, where as spec is equal to or more than 4mm."
WATER ENTRY OBSERVED INSIDE FUEL TANK.,Water entry observed inside fuel tank during opening fuel tank cap as highlighted in picture. Water gets collected on fuel tank cap key area also as highlighted in picture.
WATER DRAIN HOLE NOT PROVIDED ON MUFFLER.,Water drain hole not provided on muffler.
RUBBING MARKS OBSERVED ON FRONT COWL DUE TO HEADLAMP FOULING.,ACJA_PP1_4048_PAVE_2500_Km_ Rubbing marks observed on front cowl due to headlamp fouling.
ALLAN KEY BOLT HEAD GOT DAMAGED.,"ACJA_PP1_4033_Spl test_200_Km_Allan key bolt head got damaged, issue observed in side panel & tank cover fitment & dismantle activity, Same issue observed in Fleet vehicle. refer image."
BOLT ENGINE MOUNTING REAR UPPER NEED TO REDUCE THE SHANK LENGTH,Bolt engine mounting rear upper need to reduce the shank length
HEAVY HITTING MARK OBSERVED ON VEHICLE IN PAVE VEHICLE AFTER 600 KM,Heavy hitting mark observed on vehicle in PAVE vehicle after 600 km
RUBBING MARKS OBSERVED ON SIDE PANEL DUE TO RUBBING WITH FRAME COVER.,ACJA_PP1_4035_Fleet_15504_Km_ Rubbing marks observed on side panel due to rubbing with frame cover.
ACJA3015 - INSTRUMENT CLUSTER NOT WORKING,ACJA3015 - INSTRUMENT CLUSTER NOT WORKING
PISTON GOT BROKEN DURING FLEET TESTING @1489 KMS,PISTON GOT BROKEN DURING FLEET TESTING @1489 KMS
GAPS BETWEEN SEAT BASE & BATTERY COVER ARE LESS THAN SPEC REQUIREMENT,Gaps between Seat base & battery cover are less than spec requirement.
BRAKE HOSE FROM HECU TO FR CALIPER TOUCHING ON STAY FENDER,0302_ACJA_HR1K_VEHM2_0174
BATTERY POSITIVE TERMINAL FITMENT IS DIFFCULT TO ASSEMBLE.,Battery Positive terminal fitment is diffcult to assemble.
REAR BRAKE HOSE & SWING ARM STAY GAP IS NOT AS PER SPEC IN FULL BUMP CONDITION.,Rear Brake pipe & swing arm are fouling in full bump condition.
STATIC GAP IS NOT AS PER DESIGN SPECS BETWEEN GARNISH SIDE COVER AND COVER SIDE LH,"Static gap is not as per design specs between Garnish side cover and cover side LH (Spec are 0.5 Plus-minus 0.2 mm and Observed are LH : 0 ~ 1.65 mm,RH : 0 ~ 0.75 mm mm)"
REAR FENDER FOUND BROKEN,Rear fender found broken after 26 hrs of during testing.Target was 60 Hours
"ENGINE EARTHING ROUTING WAS NOT FINAL IN M2, CABLE LENGTH NEED TO REVISE ACCORDING TO NEW ROUTING","Engine earthing routing was not final in M2, Cable length need to revise according to new routing"
MUFFLER GROMMET FRONT DAMAGE OBSERVED AFTER 26 HRS. OF TWO POSTER DURABILITY TESTING.,Muffler Grommet Front damage observed after 26 hrs. of two poster durability testing.
HEADLAMP'S COLLIMATOR(PC NORMAL) GET BURNED IN 1080 HRS ON 18/12/2023,Headlamp's collimator(PC Normal) get burned in 1080 Hrs on 18/12/2023
KEEP LEFT / KEEP RIGHT TURN INSTRUCTION- THE 'Y' SYMBOL IS NOT SHOWN.,"Keep left / Keep right turn instruction- the 'Y' symbol is not shown,where as Instruction should be shown as 'Y' junction, with required turn direction."
ACJA FRAME GOT CRACKED FROM AREA TRELLIS-1 RT. SIDE & BOTTOM TUBE WELD JOINT.,Crack observed from area trellis-1 Rt. Side & bottom tube weld joint after 45 hours of cam drum durability testing.
OXYGEN SENSOR BRANCH COME CLOSE TO CYLINDER HEAD COVER.,Oxygen sensor branch come close to cylinder head cover.
FRONT WINKER WIRE AND CONNECTOR VISIBLE OUTSIDE,"Front winker wire and connector visible outside, Aesthetically ng"
HOLDER RIDER STEP ASSEMBLY FITMENT ISSUE MTG FACE WELDING BEAD SO IT CAN NOT MATCH WITH FRAME FLAT SURFACE.,"Holder rider step assembly fitment issue mtg face welding bead so it can not match with frame flat surface, Fitment of Holder not possible."
RIDER FOOT STEP FAILED IN STRENGTH TEST,Rider foot step failed in strength test
