Issue title,HM5_ISSUE_DESC
DCRNPD_0220_AABM_GENERAL_P2(P2)_0004,SW Ver and HW version need to be mention
DCRNPD_0272_AAGM_GENERAL_PP(PP)_0011,Holes needed to be added on Rear mounting Stay (17510-ACY-1000-27) & Rear patch (17510-ACY-1000-26) for proper flow of chemical and paint while paint stripping process in paint shop
DCRNPD_0272_AAGM_GENERAL_P0(PO)_0003,GROUND ELECTRODE MATERIAL CHANGED FROM COPPER CORE NICKLE ALLOY TO SOLID NICKLE ALLOY. ONLY DRAWING TO BE REGULARIZED. NO CHANGE IN PART
DCRNPD_0254_AAHT_GENERAL_P0(PO)_0004,"Fuel feed hose connection dificult,very less gap to insert fuel feed hose at injector side need"
DCRNPD_0252_ABZA_GENERAL_P2(P2)_0091,ABS hose anti rotatation feature gap with ABS unit
DCRNPD_0272_AAGM_GENERAL_P0(PO)_0013,Tool fouling during muffler middle mounting
DCRNPD_0272_AAGM_GENERAL_P2(P2)_0022,TAPE HAS BEEN DELETED FROM PART
DCRNPD_0225_AAWF_GENERAL_P2(P2)_0015,EBOM correction
DCRNPD_0268_ABWB_GENERAL_P0(PO)_0010,Aesthetically seat not found OK from Back side
DCRNPD_0263_AAZD_GENERAL_P2(P2)_0005,Only ACED Painting mention in the drawing.
DCRNPD_0271_AANN_GENERAL_P2(P2)_0079,Wind screen A class surface modification by studio
DESIGN UPDATION AS PER TOOLING FEASIBILITY,Assy One Way Clutch part needs to be changed from 28120-KTR-A00A to 28120-KWB-9010 & 28120-ACK-0010
SPD REQUIREMENTS FOR AAJP,"Due to as forged area on upper side & machining area in the bottom side, the net toleracne of counterbore was getting higher in existing proposal due to which bolt head may appear inside the counterbore hole instead of flush condition"
DCRNPD_0106_AATA_GENERAL_P0(PO)_0070,The intended chain for ACNA is closed. But open chain is present in the phantom.
DCRNPD_0106_AATA_GENERAL_P2(P2)_0039,Design change of profile as per the TFC closure
SUPPLIER DRAWING TO BE REELEASED IN THE SYSTEM,1. One dimension (8+/-0.5) marked as CTQ which can vary in assy part due to application of dow cornning in the area. 2. Manufacring date in DD/M/YY format is stamped on part. All the 12 months are represented with alphabets from A to L.  3. Model identification not available on part currently.
FUEL TANK MANUFACTURING FEEDBACK,DRAWING TO BE CORRECTED AS PER SUGGESTIONS AND MANUFACTURING FEASIBILITY
NEW PART ADDED,Slot dimension miss macth in 2D wrt to 3D
DCRNPD_0275_ACAA_GENERAL_P0(PO)_0006,DRAWING TO BE CORRECTED AS PER SUGGESTIONS
DCRNPD_0271_AANN_GENERAL_P2(P2)_0095,Hitachi Astemo has submitted MP intended THB Assy drawing.. Feedback on existing drawing is incorporated in this final release.
DCRNPD_0261_AALH_GENERAL_P0(PO)_0002,Muffler middle mtg harware not fix in layout gap observed
DCRNPD_0220_AABM_GENERAL_P0(PO)_0073,Drg release as per Sub Assy Proposal acceptance- Parts attached in image
DCRNPD_0076_KZAA__EB(E2)_0145,Rear Cowl Fitment issue
DESIGN UPDATION AS PER TOOLING FEASIBILITY,#NAME?
DRAWING TO  BE UPDATDE AS PER MANUFACTURING FEEDBACK /TFC OR DRAWING SUGGESTIONS,"TFC points - 1) Radius to be increase from R20 to R40 Min. & Min strate length required 40mm . ( 2) Item No-2 Tube Dia 19 thickness to be change From 1.0 mm to 1.6 mm . ( 3)  Radius  to be increase from R30 to R38.1 Min. ( 4) Item No-3 stay material thickness to be increase from 1.6 mm to 3.0 mm (5) Surface treatment not as per HMCS -D0006 , As pe D0006 is MFCr2 . ( 5)"
DCRNPD_0275_ACAA_GENERAL_EA(E1)_0054,Currently Zn iron plating given in ACAA part. Same part using in RAAA but with Zn Ni plating. There will be problem of part mixing in MP.
DIAMETER TO BE CHANGED TO SLOT,Rear Fender Structure welding fouling with Rear Fender
DCRNPD_0272_AAGM_GENERAL_PP(PP)_0006,"AS PER PP0 OBSERVATIONS, BELOW CHANGES TO BE DONE. MIXUP NOT CONTROL IN PIPE A,B,C,D DUE TO MORE PART SIMILARITY. UP TO 2.0MM FITUP GAP OBSERVED IN PIPE UPPER L/R & FUEL TANK BKT. MORE PAINTING DEFECT OBSERVED. DRAIN HOLE TO BE ADDED"
DCRNPD_0252_ABZA_GENERAL_P2(P2)_0081,The bolt is already in ADKC and AAES but missing in ADKB.
0106_AATA_HMCH_E3(PP1-2)_0169,DURABILITY & OIL SPEC IS MISSING
DCRNPD_0106_AATA_GENERAL_P2(P2)_0080,Strg Head +/-3.0mm offset Tol. Missing in Drg
DCRNPD_0251_AAFF_GENERAL_P0(PO)_0018,1. PART TO BE COATED WITH RPO-125 2. ASSY NO./NAME TO BE SPECIFIED. 3. FLANGE THICKNESS TO BE PROVIDED.
DCRNPD_0258_AATC_GENERAL_PP(PP)_0001,Drawing release of NCS THB Assy with ESD cover for ACKE PP1
DCRNPD_0252_ABZA_GENERAL_P0(PO)_0026,"1. WHY 2 FORMATS OF DRAWINGS WHILE THE COMPANY IS THE SAME (91004-ACA-0000) 2. CASE QTY, SET  TO BE SPECIFIED. 3. WHY ENLARGE VIEW OF INNER RACE NOT SPECIFIED 4. WHY IS BALL SIZE NOT SPECIFIED. 5. IS THERE ANY SPECIAL TREATMENT LIKE CARBONITRIDE OR OTHER 6. BETTER TO WHITE APPLICATION OF THIS BEARING 7. HOUSING DETAILS TO BE SPECIFIED 8. BETTER TO SHARE CLEAR DRAWING TO HMCL SO THAT SAME CAN BE RELEASED."
DCRNPD_0271_AANN_GENERAL_EA(E1)_0050,STAY FRONT COWL ASSY IS EXCLUSIVE FOR KENYA VARIANT DUE TO RM CHANGE. SO NEW STAY RELEASING FOR KENYA
DCRNPD_0271_AANN_GENERAL_EA(E1)_0059,DRAWING TO BE CORRECTED AS PER SUGGESTIONS AND MANUFACTURING FEASIBILITY
DCRNPD_0271_AANN_GENERAL_P0(PO)_0017,Design change as per Tooling feasibilty
DCRNPD_0203_AALG_VA_VE_PP(PP)_0025,"Parts undergone modification to make tooling feasible and efficient,  To Avoid Multiple DCRs 4 Nos. of parts are attached in a single DCR.  1) Fairing Up Front, 2)Seat Lock Panel, 3) Push Button Lower, 4) Push Button Housing"
DCRNPD_0251_AAFF_GENERAL_PP(PP)_0233,Studio Requirement
DCRNPD_0220_AABM_GENERAL_EA(E1)_0044,Chamfer of 2*3*45 to be removed due to manufacturing feasibility concern
DCRNPD_0252_ABZA_GENERAL_P2(P2)_0095,1. Design pattern thickness required at least 1-1.5 mm because 0.5mm is not feasible for part manufacturing
DCRNPD_0287_AAWP_VA_VE_DA(D1)_0078,"1. Stay R/L Handle RR Cover welding orientation to be updated in drawing 2. Plate Handle Fastner to be commonised with AAWA model 3. Stay Post Handle to be commonised with AAWA 4. Surface Treatment note to be revised same as ABSD 5.  Gusset Handle forming (Flat Area) depth to be incresed, as welding is fouling as per current situation."
DCRNPD_0106_AATA_GENERAL_PP(PP)_0103,1. Stay BCM Qty mention in BOM is in correct. BCM Mtg CD missing in Drg 2. Stay floor Board _50167 width Dimension missing in Drg. 3. Bkt B Sari 2d & 3d data mismatch at dimension 27mm
DCRNPD_0202_AAZA_GENERAL_P2(P2)_0085,DELETION OF COUNTERBORE FROM SCREW DOMES
DCRNPD_0251_AAFF_GENERAL_P0(PO)_0146,Both Part are OK as per 2D/3D. But fitment found NG.  Gap observed in Stack up.
DCRNPD_0252_ABZA_GENERAL_EA(E1)_0041,MFF welding issue due to height variation
DCRNPD_0271_AANN_GENERAL_P2(P2)_0075,During main stand ON condition Pivot plate stopping face dimension for reference purpose need to be add in Assy drawing.
DCRNPD_0272_AAGM_GENERAL_P2(P2)_0014,"Add a Half round of R 4.0mm at plate edge, mark with red pen, to avoid reverse loading in welding fixture."
DCRNPD_0254_AAHT_GENERAL_PP(PP)_0017,Rear cuhsion asjuster note modified. Total nos of spring adjuster slots missing on dwg. Only assy position mentioned on dwg. physical sample are with 6th slots available as per deign requirement.
DCRNPD_0264_AAED_GENERAL_P0(PO)_0002,"All MIG areas should have minimum penetration od 10% of thickness. Cross Tack Welding on Stay Up, Tank RR to be added to avoid pllug failure"
DCRNPD_0105_AASA_GENERAL_PP(PP)_0040,ACED to Powder coating required ( vendor ACED facility NA)
DCRNPD_0264_AAED_GENERAL_P2(P2)_0008,"1) Forging offset required ± 0.25 ( 5.7± 0.1) 2) Model code , Vendor code & lot code not available in drawing . 3)  Radius and chamfer Not available on spot face  4) Rz 25 machining symbol to be remove due to this face is forging  5) Forging radius & Offset not define  6) Section A A not define  7) Inner side forging detail  not define in section CC, 8) Flange width not define in section CC ( all detail dim. pending from Section CC )  9)  Section KK dim. not define"
DCRNPD_0252_ABZA_GENERAL_EA(E1)_0047,1. ALTERNATE MATERAIL PROPERTY CLASS 8.8 TO BE SPECIFIED AS MENTIONED IN REVISION REVISION 1     2. RZ100 TO BE REMOVED FROM HOLE WITH DIA 3.2  AS CANNOT BE CHECKED DUE TO SHORTER LENGTH
DCRNPD_0271_AANN_GENERAL_P2(P2)_0092,Dia 7mm will create feasibility issue.
FLNGE HEIGHT IS NOT FEASIBILE,"Hose alignment mark to be updated , Tol. Std to be updated"
DCRNPD_0271_AANN_GENERAL_P2(P2)_0067,Dimension to be added with 0/-0.5 tolerance & tooling hole of 6mm dia to be added in 50152-AAWP-D000-20.
DCRNPD_0202_AAZA_VA_VE_P2(P2)_0065,Supplier has submitted the MP drawing of AAWS ASV.. Same has to be released in PLM for PP2 part procurement16
DCRNPD_0264_AAED_GENERAL_P2(P2)_0005,Rattling from Cover Front R/L
THREAD STRIPPING POSSIBILITY IN BFT,HERO HANDLE GRIP COVER WAS THERE.
DCRNPD_0254_AAHT_GENERAL_P2(P2)_0039,Cover body Rear R/L Slot to be modified for the better fitment with Cover Body R/L  (Applicable for both R /L- 83320/420-AAW-D000)
DCRNPD_0275_ACAA_GENERAL_P0(PO)_0015,"As per studio request, brake arm color is to be changed to black in Front brake assembly"
DCRNPD_0073_KVEG_General_P0(PO)_0080,Hole dia dimension  Welding tag to maintain the dimension  ctq mark required in drawing
DCRNPD_0076_KZAA_General_E2(PP1-1)_0069,Earlier we were not using ASV in ADKB but now we have added ASV so we need joint in inlet pipe so that we are replacing th eexisting part with already released part number(in which the Joint for ASV is already added)
DCRNPD_0076_KZAA_General_PP(PP)_0098,1. Material Grade  HE20 as per BS: 1474 has been withdrawn so it must be replaced with equivalent material EN AW-6061 AS PER EN 755-2 & EN 755-3. 2. ELONGATION & TENSILE STRENGTH TO BE SPECIFIED
DCRNPD_0077_KZJA_General_DA(D1)_0095,Water entering in Fuel Tank Cannister observed by Vehicle Validation Team during Water Wading Test
DCRNPD_0077_KZJA_General_P2(P2)_0042,"Current 5210A-AAJ-6000 Swign Arm dont have lock plate for metal chanin case. Hence, right part to be replaced w.r.t base model."
DCRNPD_0077_KZJA_General_P2(P2)_0052,Existing saree guard not satisfying coverage requirement of 50% min as per regulation.
